"grdc_no","river","station","country","lat","long","area"
6124600,"DRONNE","ST-PARDOUX-LA-RIVIERE (LE MANET)","FR",45.5149,0.7492,140
6125160,"AUSSONNELLE","SEILH","FR",43.7,1.35,192
6125220,"ARBAS","CASTELBIAGUE (PONT DE RRADES)","FR",43.0453,0.9282,98
6125230,"ARAC","SOULAN (FREYCHET)","FR",42.8982,1.2313,169
6125240,"QUIOULES","CHATEAU-VERDUN (RIETE 2)","FR",42.7127,1.6453,53
6125250,"DOUCTOUIRE","VIRA (ENGRAVIES)","FR",43.0426,1.7721,131
6125260,"BLAU","CHALABRE","FR",42.9769,2.0153,67
6125300,"CHAPOUROUX","HERMET","FR",44.19,3.36,125
6125320,"MUZE","MONTJAUX (STAINT-HIPPOLYTE)","FR",44.0808,2.9212,112
6125330,"DOURBIE","NANT (PONT DE GARDIES)","FR",44.0719,3.2897,300
6125350,"MIMENTE","FLORAC","FR",44.3167,3.6,125
6125360,"TARN","ST-VICTOR-ET-MELVIEU (PINET)","FR",44.0702,2.8024,2677
6125361,"TARN","MONTBRUN (PONT DE MONTBRUN)","FR",44.333,3.4961,621
6125362,"TARN","BEDOUES (COCURES)","FR",44.3448,3.6179,189
6125363,"TARN","PONT-DE-MONTVERT (FONTCHALETTES)","FR",44.3606,3.7539,67
6125440,"VOLP","MONTBERAUD (STE-CROIX-VOLVESTRE)","FR",43.1438,1.1413,91
6125540,"DADOU","PAULINET (ST-JEAN-DE-JEANNE)","FR",43.8212,2.4401,72
6125600,"CELE","FIGEAC (MERLANCON)","FR",44.5875,1.9842,676
6125610,"RUISSEAU ALZOU","VILLEFRANCHE-DE-ROUERGUE (BARRAGE CABAL)","FR",44.3559,2.0489,199
6125620,"AVEYRON","PALMAS (PONT DE MANSON)","FR",44.3982,2.8455,270
6125640,"BES (TRIB. GARONNE)","SAINT-JUERY","FR",44.8254,3.085,283
6125641,"BES (TRIB. GARONNE)","MARCHASTEL (GOUR DU GOU - 2)","FR",44.6372,3.1095,136
6125650,"ANDER","SAINT-GEORGES","FR",45.0109,3.1277,310
6125660,"LOT","BALSIEGES (BRAMONAS)","FR",44.4826,3.4252,465
6125670,"VIAUR","ARQUES","FR",44.3076,2.8012,138
6125680,"RUISSEAU LE VIOULOU","SALLES-CURAN (TREBONS-BAS)","FR",44.2093,2.8128,57
6125710,"SERENE","ST-ANDRE-DE-NAJAC (CANABRAL)","FR",44.2079,2.0431,103
6125720,"GIFFOU","ST-JUST-SUR-VIAUR (LA FABREGUERIE)","FR",44.1079,2.4343,175
6128050,"RUISSEAU FRESQUEL","VILLEPINTE","FR",43.17,2.5,216
6128100,"AUDE","CARCASSONNE (PONT NEUF)","FR",43.2133,2.3601,1770
6128200,"MASSANE","ARGELES-SUR-MER (MAS D'EN TORRENT)","FR",42.5247,2.9857,676
6128220,"VERDOUBLE","TAUTAVEL","FR",42.8094,2.7431,305
6128350,"LERGUE","LODEVE","FR",43.7273,3.3232,228
6128370,"VIS","SAINT-LAURENT-LE-MINIER","FR",43.9389,3.6812,332
6128380,"ARRE","VIGAN (LA TERRISSE)","FR",43.9994,3.6579,159
6128610,"AILLE","VIDAUBAN (LE BAOU)","FR",43.3941,6.4529,168
6128630,"REAL MARTIN","LA CRAU (DECAPRIS)","FR",43.1856,6.1112,277
6128701,"VAR","MALAUSSENE (LA MESCLA)","FR",43.9076,7.1953,1830
6128702,"VAR","ENTREVAUX (PONT LEVIS)","FR",43.9485,6.8095,676
6128710,"TINEE","ST. ETIENNE DE TINEE","FR",44.252,6.9339,167
6135100,"THUR (FR)","VILLER","FR",48.08,7.38,159
6135110,"RUISEAU LE SELTZBACH","NIEDERROEDERN","FR",48.9027,8.048,202
6135120,"MODER","SCHWEIGHOUSE-SUR-MODER D/S","FR",48.8218,7.7416,622
6135200,"BRUCHE","WISCHES","FR",48.5,7.28,230
6135210,"LIEPVRETTE","LIEPVRE","FR",48.2692,7.292,108
6136100,"SEILLE (TRIB. MOSELLE)","METZ","FR",49.0996,6.1872,1280
6136150,"MADON","PULLIGNY","FR",48.5441,6.1316,940
6136151,"MADON","MIRECOURT","FR",48.3013,6.1357,382
6136160,"MEURTHE","SAINT-DIE","FR",48.2837,6.9555,374
6136200,"MOSELLE RIVER","EPINAL","FR",48.1646,6.4521,1220
6136201,"MOSELLE RIVER","SAINT-NABOR (NOIR GUEUX)","FR",48.0652,6.6101,621
6136202,"MOSELLE RIVER","RUPT-SUR-MOSELLE","FR",47.9086,6.6853,153
6136520,"ALBE","SARRALBE (RECH)","FR",48.9819,7.0108,407
6139050,"BRILLANNE","LAUZON","FR",43.92,5.88,175
6139060,"GARDON DE SAINT-JEAN","CORBES (ROC COURBE)","FR",44.0731,3.9605,263
6139070,"GANIERE","GAGNIERES (BANNES)","FR",44.3285,4.1126,277
6139130,"BES (TRIB. RHONE)","CHATILLON-EN-DIOIS","FR",44.6919,5.4903,227
6139140,"GERVANNE","BEAUFORT-SUR-GERVANNE","FR",44.7749,5.1453,108
6139201,"VERDON","DEMANDOLX (CASTILLON)","FR",43.8785,6.5388,655
6139210,"ISSOLE","ST. ANDRE LES ALPES","FR",43.9948,6.5027,137
6139220,"ROUBION","SOYANS","FR",44.6243,5.0147,186
6139230,"JABRON RIVIERE","SOUSPIERRE","FR",44.5299,4.9669,85
6139240,"GLUEYRE","GLUIRAS (TISONECHE)","FR",44.8287,4.5178,71
6139250,"ASSE","BEYNES","FR",44.0158,6.2529,375
6139255,"BES (TRIB. RHONE)","LA JAVIE (ESCLANGON-PEROURE)","FR",44.2164,6.2751,165
6139260,"UBAYE","LAUZET UBAYE (ROCHE ROUSSE)","FR",44.4491,6.4003,946
6139261,"UBAYE","BARCELONNETTE (ABATTOIR)","FR",44.3833,6.6517,549
6139270,"BUECH","SERRES","FR",44.4428,5.7138,723
6139280,"DURANCE","ESPINASSES (SERRE-PONCON)","FR",44.4695,6.2798,3580
6139281,"DURANCE","EMBRUN (LA CLAPIERE)","FR",44.551,6.4859,2170
6139283,"DURANCE","VAL DE PRES","FR",44.9173,6.675,210
6139284,"DURANCE","ORAISON (ESCALE)","FR",44.0856,6.012,6760
6139310,"BOURBRE","TIGNIEU-JAMEYZIEU","FR",45.7144,5.1586,703
6139340,"GALAURE","ST. UZE","FR",45.18,4.85,232
6139360,"AZERGUES","CHATILLON","FR",45.8733,4.6427,336
6139361,"AZERGUES","LOZANNE","FR",45.8577,4.687,792
6139365,"BREVENNE","SAIN-BEL","FR",45.8097,4.5993,219
6139391,"RHONE","SAULT BRENAZ","FR",45.86,5.4,15380
6139430,"ARDIERES","BEAUJEU","FR",46.9,4.35,54
6139440,"GUISANE","CASSET","FR",44.98,6.48,78
6139450,"RUISSEAU LE GUIERS MORT","ST. LAURENT DU PONT","FR",45.39,5.74,89
6139470,"ALBARINE","ST. RAMBERT","FR",45.95,5.43,232
6139501,"AIN","CERNON (VOUGLANS)","FR",46.3966,5.665,1120
6139502,"AIN","MARIGNY (CHALAIN)","FR",46.6849,5.7661,650
6139510,"VALOUSE","THOIRETTE (CHALEA)","FR",46.2719,5.5166,228
6139530,"BIENNE","SAINT-CLAUDE (CHENAVIER)","FR",46.4156,5.8672,216
6139550,"RENON","NEUVILLE-LES-DAMES","FR",46.1559,4.9967,102
6139640,"REYSSOUZE","MONTAGNAT","FR",46.1707,5.2893,84
6139650,"TORRENT LA MENOGE","VETRAZ - MONTHOUX","FR",46.17,6.27,160
6139680,"OGNON (TRIB. RHONE)","SERVANCE (FOURGUENONS)","FR",47.8018,6.667,74
6139681,"OGNON (TRIB. RHONE)","BEAUMOTTE-AUBERTANS","FR",47.415,6.1803,1250
6139682,"OGNON (TRIB. RHONE)","PESMES","FR",47.2923,5.5444,2038
6139725,"ROMANCHE","MIZOEN","FR",45.04,6.18,220
6139735,"ROIZONNE","LA VALLETTE","FR",44.95,5.87,72
6139740,"SEVERAISSE","VILLAR LOUBIERE","FR",44.83,6.15,133
6139750,"RUISSEAU L'EAU D'OLLE","ALLEMOND","FR",45.12,6.02,172
6139770,"DOUBS","NEUBLANS-ABERGEMENT","FR",46.9216,5.3501,7290
6139790,"LOUE","CHAMPAGNE-SUR-LOUE","FR",47.0426,5.8144,1380
6139795,"LISON","MYON","FR",47.0308,5.9569,217
6139800,"ILL","ALTKIRCH","FR",47.6333,7.2333,233
6139825,"CHERAN","ALLEVES (LA CHARNIAZ)","FR",45.7198,6.1028,249
6139830,"VALSERINE","LANCRANS","FR",46.1411,5.8183,390
6139831,"VALSERINE","CHEZERY-FORENS (CHEZERY)","FR",46.2189,5.8641,119
6139832,"VALSERINE","LELEX (NIAIZET)","FR",46.2821,5.9215,85
6139837,"SEMINE","CHATILLON EN MICHAINE","FR",46.1499,5.8007,183
6139840,"GIFFRE TORRENT","TANINGES","FR",46.11,6.55,325
6139850,"TORRENT LE FIER","VALLIERES","FR",45.9007,5.92,1350
6139910,"OUCHE","PLOMBIERES-LES-DIJON","FR",47.3318,4.9802,655
6139930,"LANTERNE","FLEUREY-LES-FAVERNEY","FR",47.7475,6.0756,1020
6139935,"BREUCHIN","PROISELIERE ET LANGLE","FR",47.8264,6.5005,123
6139940,"GROSNE","JALOGNY (CLUNY)","FR",46.4032,4.6483,332
6139960,"ARVE","ARTHAZ-PONT-NOTRE-DAME","FR",46.1497,6.2704,1664
6140250,"BEROUNKA","BEROUN","CZ",49.96,14.09,8284
6140300,"OTAVA","PISEK","CZ",49.3,14.15,2913
6140400,"ELBE RIVER","DECIN","CZ",50.79,14.23,51123
6140401,"ELBE RIVER","USTI NAD LABEM","CZ",50.6567,14.0436,48541
6140450,"SAZAVA","ZRUC NAD SAZAVOU","CZ",49.74,15.1,1421
6140480,"JIZERA","TURICE","CZ",50.24,14.78,2159
6140500,"JIZERA","ZELEZNY BROD","CZ",50.64,15.28,791
6140600,"LOUCNA","DASICE","CZ",50.04,15.91,624
