grdc_no,river,station,country,lat,long,area,kge,r,beta,alpha,nse,pbias,source,match_km,px_lon,px_lat,wmo_reg,sub_reg,nat_id,altitude,ds_stat_no,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discha,r_volume_y,r_height_y,gid4fname
6605380,DERWENT (TRIB. IRISH SEA),CAMERTON,GB,54.66040000000,-3.49440000000,663,0.548148449622821,0.88739154743033,0.778061503354189,0.622862805209137,0.672619539353816,-22.2,GRDC,,-3.4951171875,54.6611328125,6,5,75002,17,-,1960,2009,50,0.00000000000,0,0,0,0.00000000000,1960,2009,50,26.65000000000,0.84000000000,0.00000000000,mask_6605380
6607120,FOWEY,RESTORMEL,GB,50.43110000000,-4.67950000000,169,0.615657781981017,0.813400956337788,0.816143378137688,0.718759035605625,0.619672203959865,-18.4,GRDC,,-4.6357421875,50.3701171875,6,7,48011,9,-,1961,2015,55,0.00000000000,0,0,0,0.00000000000,1961,2015,55,4.82000000000,0.15000000000,898.52000000000,mask_6607120
6604240,GIRVAN,ROBSTONE,GB,55.25880000000,-4.80770000000,246,0.461734570983499,0.742484683287751,1.38350605131456,0.723705515187108,0.468276859494679,38.4,GRDC,,-4.8056640625,55.2587890625,6,4,82001,9,--,1963,2015,53,0.00000000000,0,0,0,0.00000000000,1963,2015,53,6.83000000000,0.22000000000,877.61000000000,mask_6604240
6607851,MEDWAY,TESTON,GB,51.25090000000,0.44700000000,1256,0.423845630400396,0.741365415475341,1.37309882503568,0.645233490795045,0.495767925575522,37.3,GRDC,,0.4462890625,51.2529296875,6,7,40003,7,-,1956,2015,60,0.00000000000,0,0,0,0.00000000000,1956,2015,60,11.13000000000,0.35000000000,279.33000000000,mask_6607851
6609500,SEVERN (CENTRAL ENGLAND),BEWDLEY,GB,52.38300000000,-2.32130000000,4325,0.744171436300651,0.852443929661731,1.09764864994335,0.815229327881719,0.716664528072677,9.8,GRDC,,-2.3232421875,52.3857421875,6,9,54001,17,-,1921,2015,95,0.00000000000,1965,1984,20,15.00000000000,1921,2015,95,61.51000000000,1.94000000000,448.53000000000,mask_6609500
6604650,SPEY (SCOTLAND),BOAT O BRIG,GB,57.55100000000,-3.14040000000,2861,0.616623159478406,0.704153477398013,1.18883606794642,0.845748334352046,0.419269659624247,18.9,GRDC,,-3.1416015625,57.5537109375,6,4,8006,43,-,1952,2015,64,0.00000000000,1980,1984,5,0.00000000000,1952,2015,64,65.70000000000,2.07000000000,724.11000000000,mask_6604650
6605565,SWALE,CRAKEHILL,GB,54.15410000000,-1.35070000000,1363,0.65999277136744,0.812595102158213,1.0273132117771,0.717620276489754,0.650724467058869,2.7,GRDC,,-1.3349609375,54.1259765625,6,5,27071,12,-,1955,2015,61,0.00000000000,0,0,0,0.00000000000,1955,2015,61,20.51000000000,0.65000000000,474.47000000000,mask_6605565
6604610,TAY,BALLATHIE,GB,56.51440000000,-3.38700000000,4587,0.642405103202307,0.853005408401577,0.83989121428076,0.71604247326039,0.668347422371808,-16.0,GRDC,,-3.3857421875,56.5146484375,6,4,15006,26,-,1952,2015,64,0.00000000000,1980,1997,18,55.56000000000,1952,2015,64,171.59000000000,5.41000000000,0.00000000000,mask_6604610
6608200,TEIFI,GLAN TEIFI,GB,52.04540000000,-4.56170000000,894,0.616249942211988,0.860676922214805,0.896030712589319,0.657883683341354,0.690269194348693,-10.4,GRDC,,-4.5595703125,52.0458984375,6,8,62001,5,-,1959,2014,56,0.00000000000,1959,1966,8,0.00000000000,1959,2014,56,29.09000000000,0.92000000000,0.00000000000,mask_6608200
6607701,THAMES,DAYS WEIR,GB,51.63850000000,-1.17950000000,3445,0.702154649343948,0.800440131271855,1.21272133680884,1.06031040181338,0.536369210133649,21.3,GRDC,,-1.1787109375,51.6376953125,6,7,39002,46,6607650,1938,2015,78,0.00000000000,0,0,0,0.00000000000,1938,2015,78,28.85000000000,0.91000000000,264.13000000000,mask_6607701
6607230,TONE (S. ENGLAND),BISHOPS HULL,GB,51.01910000000,-3.13370000000,202,0.689311742471098,0.778244294430491,1.02529061582872,0.783870443565165,0.605172825341709,2.5,GRDC,,-3.1533203125,51.0185546875,6,7,52005,17,-,1961,2015,55,0.00000000000,0,0,0,0.00000000000,1961,2015,55,3.04000000000,0.10000000000,473.82000000000,mask_6607230
6605600,TRENT (N. ENGLAND),COLWICK,GB,52.95340000000,-1.07850000000,7486,0.808276648511513,0.865106020834062,1.10896411538913,1.08178190171562,0.685658839080736,10.9,GRDC,,-1.0771484375,52.9521484375,6,5,28009,16,-,1958,2015,58,0.00000000000,1965,1984,20,37.50000000000,1958,2015,58,84.59000000000,2.67000000000,356.35000000000,mask_6605600
6604750,TWEED (SCOTLAND),NORHAM,GB,55.72270000000,-2.16340000000,4390,0.649459045461439,0.813913088871949,1.05481929952528,0.708031736801438,0.648557451302683,5.5,GRDC,,-2.1904296875,55.6962890625,6,4,21009,4,-,1962,2015,54,0.00000000000,1980,1984,5,0.00000000000,1962,2015,54,81.48000000000,2.57000000000,585.33000000000,mask_6604750
6502141,BROSNA,FERBANE,IE,53.27010000000,-7.82780000000,1163,0.821699509552333,0.850522119940597,1.09687916073307,1.00786488922242,0.684964442449437,9.7,GRDC,,-7.7919921875,53.2529296875,6,2,25006,0,6502140,1952,2005,54,3.87000000000,0,0,0,0.00000000000,1952,2005,54,17.28000000000,0.54000000000,468.62000000000,mask_6502141
6503250,FEALE,LISTOWEL,IE,52.44230000000,-9.47570000000,647,0.270919369814178,0.685097905161639,0.699087420899875,0.41532328957117,0.346001177350435,-30.1,GRDC,,-9.4814453125,52.4423828125,6,3,23002,0,-,1946,2008,63,5.93000000000,0,0,0,0.00000000000,1946,2008,63,20.78000000000,0.66000000000,0.00000000000,mask_6503250
6503280,SUIR,CLONMEL,IE,52.35190000000,-7.69550000000,2144,0.674582507161278,0.881441993934406,0.779324773208496,0.7922910976301,0.695214194699117,-22.1,GRDC,,-7.6962890625,52.3525390625,6,3,16011,0,-,1953,2008,56,1.01000000000,0,0,0,0.00000000000,1953,2008,56,48.59000000000,1.53000000000,714.75000000000,mask_6503280
6349210,RIDANNA,VIPITENO,IT,46.88000000000,11.41000000000,207,0.673616890266009,0.70440319610197,0.877803389075765,1.06493421381315,0.352512411498143,-12.2,GRDC,,11.4189453125,46.8857421875,6,49,0,940,6349200,1955,2008,54,3.43000000000,0,0,0,0.00000000000,1955,2008,54,7.47000000000,0.24000000000,0.00000000000,mask_6349210
6348201,TANARO,FARIGLIANO,IT,44.51000000000,7.90000000000,1522,0.715725943910747,0.742514944319669,1.04606292847197,1.11131662808098,0.41394604127092,4.6,GRDC,,7.9130859375,44.5712890625,6,48,0,235,6348200,1942,2008,67,27.02000000000,0,0,0,0.00000000000,1942,2008,67,37.00000000000,1.17000000000,766.66000000000,mask_6348201
6349350,TORRENTE ASTICO,PEDESCALA,IT,45.84400000000,11.36770000000,138,0.54617020640311,0.697822411041531,0.960615064747586,0.663698032770241,0.485295823769806,-3.9,GRDC,,11.3681640625,45.8447265625,6,49,0,315,-,1950,2008,59,40.72000000000,0,0,0,0.00000000000,1950,2008,59,3.74000000000,0.12000000000,853.76000000000,mask_6349350
6974100,MINIJA,KARTENA,LT,55.92110000000,21.47690000000,1220,0.546037318789738,0.733987429342362,0.986508509581072,0.632389597712468,0.528317496988256,-1.3,GRDC,,21.4775390625,55.9248046875,6,74,74400,18,-,1933,2009,77,15.59000000000,1978,1986,9,0.00000000000,1933,2009,77,15.57000000000,0.49000000000,402.34000000000,mask_6974100
6731371,FLAKSVATN,TOVSDALSELV,NO,58.33050000000,8.20310000000,1781,0.714433954381976,0.826887081846553,0.901415518319355,0.795400430229994,0.674010502578205,-9.9,GRDC,,8.2060546875,58.3291015625,6,31,0,19,-,1899,2014,116,0.00000000000,0,0,0,0.00000000000,1899,2014,116,60.96000000000,1.92000000000,0.00000000000,mask_6731371
6731530,FLISA,KNAPPOM,NO,60.63000000000,12.03000000000,1625,0.745774737986263,0.839410140874108,1.18289542993948,0.926579003690137,0.676555378269933,18.3,GRDC,,12.0791015625,60.6455078125,6,31,2,164,6731400,1916,2014,99,1.02000000000,1917,1988,72,0.00000000000,1916,2014,99,23.36000000000,0.74000000000,453.42000000000,mask_6731530
6731502,GAULA,EGGAFOSS,NO,62.89010000000,11.18390000000,654,0.692040574282075,0.797501095671207,0.992408502886681,0.768104396752049,0.635120982735793,-0.8,GRDC,,11.1806640625,62.8798828125,6,31,0,330,6731500,1941,2015,75,0.00000000000,0,0,0,0.00000000000,1941,2015,75,17.31000000000,0.55000000000,834.24000000000,mask_6731502
6731165,GAULAR,VIKSVATN,NO,61.33000000000,5.87000000000,505,0.678296032220494,0.776541424392235,0.774286741203752,0.948880212480835,0.504990696699339,-22.6,GRDC,,5.8720703125,61.3330078125,6,31,0,0,-,1902,2007,106,0.07000000000,0,0,0,0.00000000000,1902,2007,106,41.46000000000,1.31000000000,0.00000000000,mask_6731165
6731220,HAELVI,HAUGLAND,NO,58.69290000000,5.64760000000,139,0.723230693008863,0.829630338255782,0.981673551222807,0.782653343884172,0.685805397339554,-1.8,GRDC,,5.6435546875,58.6904296875,6,31,0,18,-,1918,2015,98,0.00000000000,0,0,0,0.00000000000,1918,2015,98,6.72000000000,0.21000000000,0.00000000000,mask_6731220
6731453,JON,AULESTAD,NO,61.21540000000,10.26930000000,866,0.679630971985061,0.82547710969851,0.962401548642832,0.733984152111959,0.672473395359773,-3.8,GRDC,,10.2158203125,61.2216796875,6,31,0,200,-,1929,2014,86,0.00000000000,0,0,0,0.00000000000,1929,2014,86,15.16000000000,0.48000000000,551.99000000000,mask_6731453
6731140,KINSO,HOLEN,NO,60.38000000000,6.74000000000,229,0.770422579732698,0.793112008777084,0.904299875639114,1.02728804100054,0.568432649036842,-9.6,GRDC,,6.7529296875,60.3525390625,6,31,0,0,-,1923,2015,93,0.00000000000,0,0,0,0.00000000000,1923,2015,93,11.78000000000,0.37000000000,0.00000000000,mask_6731140
6731725,LAKSELVA (NO; NORDLAND),SKARSVATN,NO,67.08400000000,14.98150000000,145,0.745091253477554,0.817968340808351,1.11461270714521,0.863226934426303,0.660392953743868,11.5,GRDC,,14.9814453125,67.0830078125,6,31,0,162,-,1916,2014,99,0.00000000000,0,0,0,0.00000000000,1916,2014,99,5.18000000000,0.16000000000,0.00000000000,mask_6731725
6731555,NAMSEN,BERTNEM,NO,64.46810000000,12.05870000000,5163,0.714513526349059,0.797091583394387,0.811890816537659,0.929674782578483,0.573629916421513,-18.8,GRDC,,12.0712890625,64.4677734375,6,31,0,4,-,1961,2014,54,0.00000000000,0,0,0,0.00000000000,1961,2014,54,245.47000000000,7.74000000000,0.00000000000,mask_6731555
6731770,OKSFJORDELV,OKSFJORDVATN,NO,69.90020000000,21.37680000000,266,0.547122917499605,0.708744529602497,0.734315991195908,0.777110093805517,0.455395324457209,-26.6,GRDC,,21.3369140625,69.9033203125,6,31,0,5,-,1955,2015,61,0.00000000000,0,0,0,0.00000000000,1955,2015,61,9.45000000000,0.30000000000,0.00000000000,mask_6731770
6731020,RAUMA,HORGHEIM,NO,62.47410000000,7.78200000000,1099,0.778981636750247,0.827498899180959,1.02693634821528,1.13552461125066,0.589465877235178,2.7,GRDC,,7.7236328125,62.5361328125,6,31,0,60,-673111,1912,2015,104,0.00000000000,0,0,0,0.00000000000,1912,2015,104,36.53000000000,1.15000000000,0.00000000000,mask_6731020
